epoch,phase,train_loss,val_loss,val_accuracy,val_qwk,val_macro_f1,lr
1,1,1.603932,1.56963,0.349727,0.042975,0.20554,0.0001
2,1,1.534003,1.49398,0.590164,0.320045,0.253846,0.0001
