epoch,phase,train_loss,val_loss,val_accuracy,val_qwk,val_macro_f1,lr
1,1,1.557241,1.582607,0.237705,0.021675,0.168515,0.0001
2,1,1.523604,1.541093,0.374317,0.134393,0.198231,0.0001
