epoch,phase,train_loss,val_loss,val_accuracy,val_qwk,val_macro_f1,lr
1,1,1.563502,1.480878,0.478142,0.108006,0.164003,0.0001
2,1,1.391865,1.381556,0.47541,0.024483,0.143333,0.0001
