epoch,phase,train_loss,val_loss,val_accuracy,val_qwk,val_macro_f1,lr
1,1,1.614306,1.65507,0.346995,0.086147,0.17696,0.0001
2,1,1.549715,1.576744,0.431694,0.033359,0.173906,0.0001
