epoch,phase,train_loss,val_loss,val_accuracy,val_qwk,val_macro_f1,lr
1,1,1.616113,1.587962,0.497268,0.337407,0.274956,0.0001
2,1,1.547842,1.582209,0.617486,0.572413,0.310684,0.0001
