epoch,phase,train_loss,val_loss,val_accuracy,val_qwk,val_macro_f1,lr
1,1,1.668786,1.59759,0.333333,0.045253,0.182283,0.0001
2,1,1.583613,1.598302,0.434426,0.281705,0.239931,0.0001
